Name,KSPtime,Location,index,time,RA,DEC,I,SN,M,Merr,Mlim
N2188-1.Q2.B.170419_0938.A.055123.061035N3413.0060.nh.fits,2017-04-19T09:38:00.000,A,69,474.402083333,92.6548004585,-34.1411387668,nan,nan,nan,nan,21.7759051969
N2188-1.Q2.B.170108_0626.C.047943.061035N3413.0060.nh.fits,2017-01-08T06:26:00.000,C,70,373.268368056,92.654751285,-34.1410927425,80.0572431426,2.72332486161,19.3452872977,0.4050449278,22.0321371647
N2188-1.Q2.B.170309_1835.S.061614.061035N3413.0060.nh.fits,2017-03-09T18:35:00.000,S,71,433.774884259,92.6547338463,-34.1411206012,33.2080525456,2.65002773468,20.305266242,0.416047583928,21.5689399647
N2188-1.Q2.B.170317_1927.S.063435.061035N3413.0060.nh.fits,2017-03-17T19:27:00.000,S,72,441.81087963,92.6547492053,-34.1410996446,25.030336986,2.67326822466,20.61368134,0.412748008784,21.8744856345
N2188-1.Q2.B.170110_0643.C.048435.061035N3413.0060.nh.fits,2017-01-10T06:43:00.000,C,73,375.279953704,92.6547763658,-34.1410814585,79.4468173187,2.7376673119,19.3536375042,0.403050808546,21.5259757285
N2188-1.Q2.B.170109_0210.C.048070.061035N3413.0060.nh.fits,2017-01-09T02:10:00.000,C,74,374.090578704,92.6547563588,-34.1410972699,85.7465386815,2.71933545516,19.2703895877,0.405436944166,21.4841260606
N2188-1.Q2.B.170123_1101.A.042684.061035N3413.0060.nh.fits,2017-01-23T11:01:00.000,A,75,388.459097222,92.6547373549,-34.1410793288,54.4203395474,2.70973519194,19.7663974289,0.406882917601,21.7790458981
N2188-1.Q2.B.161207_1553.A.036487.061035N3413.0060.nh.fits,2016-12-07T15:53:00.000,A,76,341.662303241,92.65485658,-34.1411338917,nan,nan,nan,nan,21.4220922293
N2188-1.Q2.B.170113_0125.C.049019.061035N3413.0060.nh.fits,2017-01-13T01:25:00.000,C,77,378.059583333,92.6547429901,-34.1411026308,81.3631787962,2.69034155718,19.3276347774,0.411197798147,20.8781022904
N2188-1.Q2.B.161026_1620.A.029735.061035N3413.0060.nh.fits,2016-10-26T16:20:00.000,A,78,299.681111111,92.6548233875,-34.141179543,-3.87226747078,-0.861222157092,nan,nan,21.0197756126
N2188-1.Q2.B.170331_2016.S.001311.061035N3413.0060.nh.fits,2017-03-31T20:16:00.000,S,79,455.844884259,92.6547577132,-34.1411292903,15.8185175637,2.71524383519,21.1143252398,0.406039752843,22.3220535503
N2188-1.Q2.B.170404_0115.C.001966.061035N3413.0060.nh.fits,2017-04-04T01:15:00.000,C,80,459.052453704,92.6546822348,-34.1410831851,14.2679767289,2.54298124137,21.2268713523,0.433534394154,21.8078321878
N2188-1.Q2.B.170319_0034.C.063113.061035N3413.0060.nh.fits,2017-03-19T00:34:00.000,C,81,443.023715278,92.6547513272,-34.1411299802,23.6706168759,2.6106229964,20.6746152265,0.422341626459,22.1842516435
