Name,index,time,RA,DEC,I,SN,M,Merr,Mlim
N2188-1.Q2.B.170319_0034.C.063113.061035N3413.0060.nh.fits,26,808.023726852,92.6547583164,-34.1411388027,16.6924502801,16.0557531325,21.1181064435,0.0690614151509,23.1270229404
N2188-1.Q2.B.170418_1818.S.005279.061035N3413.0060.nh.fits,27,838.762708333,92.654691985,-34.1411005994,3.08859456828,1.49230770038,22.9587975237,0.739818336122,22.2183169779
N2188-1.Q2.B.161219_1722.A.038421.061035N3413.0060.nh.fits,28,718.723958333,92.6548818018,-34.1411485834,-1.20321792877,-0.0932310318316,nan,nan,20.1898055619
N2188-1.Q2.B.161118_0643.C.037873.061035N3413.0060.nh.fits,29,687.280439815,92.6550902358,-34.1409608384,0.798720302865,1.82778860745,24.4342613662,0.604501364758,23.9140621155
N2188-1.Q2.B.170202_1917.S.054285.061035N3413.0060.nh.fits,30,763.80380787,92.6547500968,-34.1411553993,23.8707728133,7.31382717503,20.7278763165,0.151127307695,21.7371096802
N2188-1.Q2.B.170327_1920.S.000178.061035N3413.0060.nh.fits,31,816.805914352,92.6547553753,-34.1411132071,12.0307899105,11.9589713584,21.4753780259,0.0925940195055,23.1095334303
N2188-1.Q2.B.170201_2023.S.054100.061035N3413.0060.nh.fits,32,762.849398148,92.6547652302,-34.1411254622,36.3269382165,26.0217611758,20.2697821792,0.0428028042504,22.9191747676
N2188-1.Q2.B.170301_0221.C.058995.061035N3413.0060.nh.fits,33,790.098541667,92.6547587593,-34.1410974489,19.7151356142,23.0900635296,20.9365398937,0.048187715184,23.5387991911
N2188-1.Q2.B.170212_1156.A.044536.061035N3413.0060.nh.fits,34,773.49755787,92.6548266783,-34.1412056783,nan,nan,nan,nan,19.8135503464
N2188-1.Q2.B.161219_2250.S.047008.061035N3413.0060.nh.fits,35,718.951793981,92.6548794616,-34.1411448221,-0.570644108099,-0.56312469439,nan,nan,22.9779355194
N2188-1.Q2.B.170307_1130.A.048077.061035N3413.0060.nh.fits,36,796.479502315,92.6547954861,-34.1410604264,12.7164243808,2.29946717147,21.4149120002,0.480174434431,21.1461421806
N2188-1.Q2.B.170219_1401.A.045281.061035N3413.0060.nh.fits,37,780.584664352,92.654741197,-34.141096766,17.4303956702,5.43642418035,21.0709131117,0.203218642562,21.7568947012
N2188-1.Q2.B.170402_1923.S.001872.061035N3413.0060.nh.fits,38,822.808206019,92.6548061587,-34.1411782764,13.3802817919,9.63964566411,21.3593961801,0.114770088221,22.7560319357
N2188-1.Q2.B.170211_0120.C.054473.061035N3413.0060.nh.fits,39,772.055891204,92.6547401859,-34.1410719134,15.07057633,20.5572576048,21.2296147022,0.0540716119882,23.7848990723
N2188-1.Q2.B.170109_0425.C.048130.061035N3413.0060.nh.fits,40,739.18474537,92.6547378931,-34.1410740815,43.6346497285,38.2870187594,20.0698201998,0.0293091578578,23.3626828012
N2188-1.Q2.B.170318_1929.S.063738.061035N3413.0060.nh.fits,41,807.812395833,92.6548210597,-34.1411160389,7.72187864843,3.4004930001,21.9591168066,0.324748932215,22.1398048734
N2188-1.Q2.B.170113_0237.C.049049.061035N3413.0060.nh.fits,42,743.109606481,92.6547208396,-34.1410675521,26.3730024826,30.521561976,20.6191240589,0.0366282641125,23.8248264399
N2188-1.Q2.B.170202_2024.S.054317.061035N3413.0060.nh.fits,43,763.850300926,92.6549988325,-34.141405823,17.1526026366,1.87550045866,21.0884398859,0.588827549974,20.5676507107
N2188-1.Q2.B.170317_0934.A.049704.061035N3413.0060.nh.fits,44,806.398657407,92.6547748317,-34.1411083256,17.0278281614,8.93963021899,21.0964048549,0.12370389106,22.3436262382
N2188-1.Q2.B.161027_0704.C.033384.061035N3413.0060.nh.fits,45,665.295104167,92.6548752897,-34.1411854115,-0.846130438162,-0.90017892157,nan,nan,23.0389732245
N2188-1.Q2.B.170131_1109.A.043571.061035N3413.0060.nh.fits,46,761.464976852,92.6547792212,-34.1410957067,125.188435011,16.1019599293,18.9199956166,0.0689024614721,20.8482666174
N2188-1.Q2.B.161208_0232.C.041956.061035N3413.0060.nh.fits,47,707.105763889,92.6548869536,-34.1411610363,nan,nan,nan,nan,21.8624919633
N2188-1.Q2.B.170121_1157.A.042335.061035N3413.0060.nh.fits,48,751.498576389,92.6546963479,-34.1411205572,74.4532878338,12.2999283125,19.4869046043,0.0900105583287,21.0954871651
N2188-1.Q2.B.170307_1237.A.048109.061035N3413.0060.nh.fits,49,796.525810185,92.6546781002,-34.1412494681,6.43181051543,0.136165042416,22.1585438106,8.10974297013,18.8220803229
N2188-1.Q2.B.170330_1916.S.001014.061035N3413.0060.nh.fits,50,819.80306713,92.6547547182,-34.1411180679,12.2778144454,6.78657314961,21.4532047962,0.162867455622,22.349048388
N2188-1.Q2.B.170119_1220.A.042219.061035N3413.0060.nh.fits,51,749.514027778,92.6547679641,-34.1411142807,66.6799863154,8.77461657658,19.6072002119,0.12602686531,20.77440583
N2188-1.Q2.B.170116_2031.S.050939.061035N3413.0060.nh.fits,52,746.854953704,92.6546795676,-34.1411618983,81.2288455538,16.0049701954,19.3918846872,0.0693023796087,21.2685271217
N2188-1.Q2.B.161228_1207.A.040097.061035N3413.0060.nh.fits,53,727.505486111,92.6547712593,-34.141138287,119.851997588,8.28831132578,18.9675199775,0.133404041203,20.0812929255
N2188-1.Q2.B.170208_2029.S.055473.061035N3413.0060.nh.fits,54,769.853935185,92.6547548407,-34.1411214689,34.9497919932,9.66868752954,20.3119440894,0.114404679735,21.6314028012
N2188-1.Q2.B.161217_1413.A.037950.061035N3413.0060.nh.fits,55,716.592488426,92.6547803449,-34.1411820464,-5.11678956114,-0.486125422486,nan,nan,20.4127874677
N2188-1.Q2.B.161227_2045.S.048536.061035N3413.0060.nh.fits,56,726.864849537,92.6548606582,-34.1411473102,nan,nan,nan,nan,20.7602770492
