Name,KSPtime,Location,index,time,RA,DEC,I,SN,M,Merr,Mlim,FWHM,r_opt,Io_err,I_rand
N2188-1.Q2.V.161220_0621.C.044123.061035N3413.0060.nh.fits,2016-12-20T06:21:00.000,C,1271,719.264872685,92.6538760038,-34.1409843,0.367583302212,0.197401477727,25.109312969,5.59374606012,22.093445753,2.53217520142,1.47828328518,5.06581820721,0.79240805759
N2188-1.Q2.V.170404_1930.S.002493.061035N3413.0060.nh.fits,2017-04-04T19:30:00.000,S,1272,824.812708333,92.6546685287,-34.1410444854,42.4841611302,10.8660882348,19.9273803328,0.101719662064,21.4047449456,3.27816311391,1.38871204382,0.0920294385973,0.0149742406599
N2188-1.Q2.V.170220_0321.C.056859.061035N3413.0060.nh.fits,2017-02-20T03:21:00.000,C,1273,781.140185185,92.6547242067,-34.1410883181,81.0210228592,40.9389808658,19.2230891989,0.0271573143238,22.4219724015,2.54399209391,1.44703262748,0.0244265973127,0.00479779832703
N2188-1.Q2.V.170203_1917.S.054457.061035N3413.0060.nh.fits,2017-02-03T19:17:00.000,S,1274,764.803622685,92.6547083878,-34.1410726631,91.3149250596,30.4477220196,19.0926057569,0.0364383125474,21.7408486927,3.73045337571,1.51436479951,0.0328431795113,0.00607666478915
N2188-1.Q2.V.161115_1602.A.032985.061035N3413.0060.nh.fits,2016-11-15T16:02:00.000,A,1275,684.668622685,92.6547680968,-34.1412034315,nan,nan,nan,nan,20.1868212853,3.73045337571,1.51436479951,0.0328431795113,0.00607666478915
N2188-1.Q2.V.170223_2204.S.057901.061035N3413.0060.nh.fits,2017-02-23T22:04:00.000,S,1276,784.91974537,92.65468458,-34.1410841813,82.4212225977,31.885910036,19.2043965762,0.0347970783456,21.9856140742,3.79836271229,1.44007672776,0.0313618146344,0.00581408944951
N2188-1.Q2.V.161217_2135.S.046476.061035N3413.0060.nh.fits,2016-12-17T21:35:00.000,S,1277,716.899560185,92.6536818264,-34.1410257106,1.74956422033,0.591316122205,23.4072467957,1.86699725615,21.6364767235,2.93779018749,1.70965448578,1.69114279562,0.262234488057
N2188-1.Q2.V.170219_0328.C.056590.061035N3413.0060.nh.fits,2017-02-19T03:28:00.000,C,1278,780.144652778,92.65472663,-34.1410865054,78.0307149549,39.423942545,19.2641155233,0.0281894383522,22.3101748749,2.54098396261,1.59916830313,0.0253652967066,0.0049271162322
N2188-1.Q2.V.161119_0643.C.038108.061035N3413.0060.nh.fits,2016-11-19T06:43:00.000,C,1279,688.280069444,92.6537660638,-34.1410245218,3.11237124402,1.01857223636,22.7788410937,1.08388102633,21.6263685835,3.23255471211,1.58794308208,0.981766402322,0.152386056966
N2188-1.Q2.V.170209_1920.S.055620.061035N3413.0060.nh.fits,2017-02-09T19:20:00.000,S,1280,770.806111111,92.6546564496,-34.1410749074,82.5362180926,15.0293613402,19.2028755282,0.0735828687567,20.9751390169,3.84621234152,1.53845756997,0.0665364267559,0.0110550434348
