N2188-1.Q2.B.170207_0134.C.053562.061035N3413.0060.nh.fits,2017-02-07T01:34:00.000,C,0.0,768.065405093,92.6546142499,-34.1411139321,42.0890749499,9.6821895834,20.1091634285,0.113994635799,21.4232041328,0.809345201965,-16.502777373733117,0.11453311644636816
N2188-1.Q2.B.170311_1003.A.048968.061035N3413.0060.nh.fits,2017-03-11T10:03:00.000,A,1.0,800.419143519,92.6546545496,-34.141060671,34.2919941185,5.62501978987,20.3326727486,0.196119696769,20.9960021427,0.984250731778,-16.279268053633118,0.19643317752542513
N2188-1.Q2.B.170219_1249.A.045249.061035N3413.0060.nh.fits,2017-02-19T12:49:00.000,A,2.0,780.534652778,92.6547279564,-34.1410466006,12.1998723763,1.07832446561,21.4601524307,1.0222998428,20.312653385,0.4336040913,-15.151788371533119,1.0223600277597298
N2188-1.Q2.B.170115_1928.S.050841.061035N3413.0060.nh.fits,2017-01-15T19:28:00.000,S,3.0,745.811585648,92.6547775353,-34.1411434195,41.9135409767,3.49968036404,20.1137227786,0.315062542313,20.2746630201,0.867362889909,-16.498218023633118,0.31525777284739803
N2188-1.Q2.B.161130_0506.C.040090.061035N3413.0060.nh.fits,2016-11-30T05:06:00.000,C,4.0,699.213194444,92.6538003429,-34.1410109523,0.867462392175,0.705829121199,24.3441912662,1.5619701136,22.7475156016,0.00633027166183,-12.267749536033119,1.5620095049491751
N2188-1.Q2.B.170416_1010.A.054261.061035N3413.0060.nh.fits,2017-04-16T10:10:00.000,A,5.0,836.424201389,92.6535821516,-34.141103318,14.7221249775,2.50917027524,21.2551350165,0.439292253358,21.0340688959,0.77230922507,-15.356805785733119,0.4394322947079788
N2188-1.Q2.B.161217_0035.S.046314.061035N3413.0060.nh.fits,2016-12-17T00:35:00.000,S,6.0,716.024490741,92.6549817786,-34.1412931912,0.717931787128,0.208368628072,24.5505959583,5.29079158929,21.5805006643,0.876602140775,-12.061344843933117,5.290803218706379
N2188-1.Q2.B.170320_0235.C.063430.061035N3413.0060.nh.fits,2017-03-20T02:35:00.000,C,7.0,809.108263889,92.6545976582,-34.141047119,29.443276058,15.2407361014,20.4989837521,0.0725364381467,22.353573558,0.554358421461,-16.11295705013312,0.07337978353048412
N2188-1.Q2.B.170124_2043.S.052404.061035N3413.0060.nh.fits,2017-01-24T20:43:00.000,S,8.0,754.862037037,92.6547970833,-34.1412061831,nan,nan,nan,nan,20.2988242828,0.0977246417092,nan,nan
N2188-1.Q2.B.170112_0350.C.048842.061035N3413.0060.nh.fits,2017-01-12T03:50:00.000,C,9.0,742.160335648,92.6547418741,-34.1410816065,69.9384758978,19.0816307383,19.5551499092,0.0580413540368,21.6226070879,0.997515942205,-17.056790893033117,0.05909193303993222
N2188-1.Q2.B.170227_1251.A.046947.061035N3413.0060.nh.fits,2017-02-27T12:51:00.000,A,10.0,788.536041667,92.6537103584,-34.1410814689,21.0540174955,5.1958366027,20.8648594445,0.212222843468,21.4519999743,0.0104402058968,-15.74708135773312,0.21251257153781256
N2188-1.Q2.B.161205_0526.C.041291.061035N3413.0060.nh.fits,2016-12-05T05:26:00.000,C,11.0,704.22693287,92.6549524046,-34.1416997617,0.17069827632,0.192356765604,26.117717324,5.73362620424,23.0784292633,0.282982410135,-10.494223478233117,5.733636935464222
N2188-1.Q2.B.170331_0019.C.000856.061035N3413.0060.nh.fits,2017-03-31T00:19:00.000,C,12.0,820.013680556,92.6536528038,-34.1410597112,5.58396257032,2.56980190099,22.3127573567,0.428984422378,22.1317073446,0.11616610303,-14.299183445533117,0.4291278275933139
N2188-1.Q2.B.161130_0406.C.040063.061035N3413.0060.nh.fits,2016-11-30T04:06:00.000,C,13.0,699.171493056,92.6538220254,-34.1409996673,0.967275727934,0.792210771784,24.2253745843,1.39178891687,22.7820366318,0.00581824507047,-12.386566217933119,1.3918331246576
N2188-1.Q2.B.170125_2056.S.052630.061035N3413.0060.nh.fits,2017-01-25T20:56:00.000,S,14.0,755.872650463,92.6550176498,-34.1411448135,33.2374961811,3.24471279314,20.3667466222,0.339808121896,20.449633364,0.0472311366657,-16.245194180033117,0.33998914317733364
N2188-1.Q2.B.161216_0149.S.046103.061035N3413.0060.nh.fits,2016-12-16T01:49:00.000,S,15.0,715.076053241,92.6547645705,-34.1412097659,nan,nan,nan,nan,20.4770527643,0.938335167382,nan,nan
