Name,index,time,RA,DEC,I,SN,M,Merr,Mlim
N2188-1.Q2.V.170327_2030.S.000211.061035N3413.0060.nh.fits,1176,816.854699074,92.6547476077,-34.1410987153,52.5840125402,24.9603264587,19.6947021239,0.0446766142216,22.1581074289
N2188-1.Q2.V.170303_0322.C.059501.061035N3413.0060.nh.fits,1177,792.140578704,92.6547342313,-34.1410756981,48.325204584,38.4018977947,19.7868423381,0.0291959949348,23.0496149277
N2188-1.Q2.V.170120_2001.S.051848.061035N3413.0060.nh.fits,1178,750.8340625,92.6547460778,-34.1410974642,78.3714725819,18.9010444495,19.2593617618,0.0588779006311,21.3512293589
N2188-1.Q2.V.170212_1302.A.044567.061035N3413.0060.nh.fits,1179,773.543402778,92.6549227828,-34.1410639955,45.4225465904,2.51749791307,19.8544207204,0.440154078879,19.6409687365
N2188-1.Q2.V.170105_0328.C.047134.061035N3413.0060.nh.fits,1180,735.144525463,92.6547313272,-34.1410827455,58.8338961496,44.1153881666,19.5721821205,0.025478188421,23.1598402834
N2188-1.Q2.V.161205_0417.C.041261.061035N3413.0060.nh.fits,1181,704.17849537,92.6548255312,-34.1411732412,-0.0894080033759,-0.180428911906,nan,nan,23.5564390125
N2188-1.Q2.V.161219_1620.A.038392.061035N3413.0060.nh.fits,1182,718.680613426,92.6550890959,-34.141512151,2.14637178579,0.368428266695,23.1842438391,3.00598132982,20.850127786
N2188-1.Q2.V.170311_0100.C.061200.061035N3413.0060.nh.fits,1183,800.041805556,92.6547531596,-34.1410824664,44.0641181826,31.3278670134,19.8875449463,0.0356881732805,22.8054649597
N2188-1.Q2.V.170121_1159.A.042336.061035N3413.0060.nh.fits,1184,751.500034722,92.6547289276,-34.1410737673,91.6352415333,29.1011691974,19.0887856031,0.0383662743528,21.6512642592
N2188-1.Q2.V.170202_1919.S.054286.061035N3413.0060.nh.fits,1185,763.805277778,92.6547070237,-34.1411195464,75.4804598659,14.1934706802,19.3003663177,0.0782396229346,21.0185671911
N2188-1.Q2.V.170113_0559.C.049141.061035N3413.0060.nh.fits,1186,743.249375,92.6547186307,-34.1410873137,59.0890639234,33.6957992272,19.5674608153,0.0332137257185,22.4534446221
N2188-1.Q2.V.161223_1144.A.039208.061035N3413.0060.nh.fits,1187,722.488900463,92.6548136675,-34.1411404819,nan,nan,nan,nan,20.2226990562
N2188-1.Q2.V.170417_0903.A.054567.061035N3413.0060.nh.fits,1188,837.377789352,92.6548205795,-34.1411337495,4.62968440636,0.544037713725,22.3456215908,2.03551563908,20.4696870148
N2188-1.Q2.V.161219_0709.C.043901.061035N3413.0060.nh.fits,1189,718.298229167,92.6546883942,-34.1409153162,0.73686980691,1.32698012147,24.3506010822,0.835271335098,23.4886435054
N2188-1.Q2.V.161218_0554.C.043635.061035N3413.0060.nh.fits,1190,717.246099537,92.6548220646,-34.1411231039,-0.636441469323,-1.04924782869,nan,nan,23.2918741364
N2188-1.Q2.V.170113_0450.C.049110.061035N3413.0060.nh.fits,1191,743.201701389,92.6546773945,-34.1410648293,34.2442679788,25.3999416835,20.1626019037,0.0439379080995,22.7524364647
N2188-1.Q2.V.170315_1937.S.062852.061035N3413.0060.nh.fits,1192,804.817766204,92.6547439726,-34.1411198555,60.9374633957,19.5938302009,19.5338571328,0.0567800456007,21.6021859046
N2188-1.Q2.V.170321_0041.C.063638.061035N3413.0060.nh.fits,1193,810.029178241,92.654742849,-34.1410761673,41.804423206,34.0791167174,19.9449764198,0.032840955662,23.0016667594
N2188-1.Q2.V.170329_1919.S.000704.061035N3413.0060.nh.fits,1194,818.805162037,92.6547465805,-34.1410583905,45.5619028459,13.3708956561,19.8510788194,0.0830389184914,21.4836045764
N2188-1.Q2.V.170327_1136.A.050485.061035N3413.0060.nh.fits,1195,816.483969907,92.6547414445,-34.1411017037,42.2615578527,22.6944487487,19.9331115746,0.0490951888222,22.2183063991
N2188-1.Q2.V.161121_1721.A.034144.061035N3413.0060.nh.fits,1196,690.723275463,92.655334187,-34.1412771789,2.53843034834,0.545167240549,23.0012187643,2.03146746973,21.1060552399
N2188-1.Q2.V.170416_1859.S.004680.061035N3413.0060.nh.fits,1197,836.791087963,92.6546839618,-34.141068626,10.5640225166,3.86728357935,21.4456274284,0.286473464495,21.7086116889
N2188-1.Q2.V.170109_0427.C.048131.061035N3413.0060.nh.fits,1198,739.186076389,92.6547598063,-34.1411038075,59.0462964501,34.5085759307,19.5682507072,0.0324394770808,22.4846465746
N2188-1.Q2.V.170328_1839.S.000389.061035N3413.0060.nh.fits,1199,817.777118056,92.6547739046,-34.1411119447,44.4035839965,14.5048120703,19.8791725964,0.0765734631122,21.6080508305
N2188-1.Q2.V.170330_0138.C.000630.061035N3413.0060.nh.fits,1200,819.068449074,92.6547637295,-34.1410883591,37.361948147,15.517396224,20.0675437381,0.0715984952829,21.8792350749
N2188-1.Q2.V.170119_0200.C.050443.061035N3413.0060.nh.fits,1201,749.083819444,92.6547396105,-34.1410839093,69.4239277,36.7783259111,19.3916156143,0.0304589577418,22.3387833707
N2188-1.Q2.V.170213_0325.C.055027.061035N3413.0060.nh.fits,1202,774.14255787,92.6547276519,-34.1410747071,44.5776789503,32.0648001814,19.8749036361,0.0348801457625,22.8292622858
N2188-1.Q2.V.170126_0234.C.051761.061035N3413.0060.nh.fits,1203,756.107407407,92.6547490174,-34.141079351,65.4310013471,44.2467864943,19.4562383561,0.0254032223603,22.9018386252
N2188-1.Q2.V.170402_0134.C.001438.061035N3413.0060.nh.fits,1204,822.065671296,92.6547279442,-34.1410859981,30.9450356302,29.4365752179,20.2731221162,0.0379527293402,23.2275856691
N2188-1.Q2.V.170305_1849.S.060445.061035N3413.0060.nh.fits,1205,794.784641204,92.6547477103,-34.1411157961,68.1722546141,25.2111433666,19.4114642404,0.0442185054693,21.7981807396
N2188-1.Q2.V.170319_0141.C.063145.061035N3413.0060.nh.fits,1206,808.070520833,92.654727915,-34.1411126803,47.9715433849,33.377688225,19.7948556434,0.0335085069938,22.6813560483
N2188-1.Q2.V.161201_1620.A.035645.061035N3413.0060.nh.fits,1207,700.681030093,92.6550052546,-34.1409619426,1.14248478166,0.741255224077,23.8721664111,1.4947241511,22.3635747639
N2188-1.Q2.V.161217_1726.A.038034.061035N3413.0060.nh.fits,1208,716.726643519,92.6548478161,-34.1411393304,-2.44892338594,-0.2873996262,nan,nan,20.4593581083
N2188-1.Q2.V.170307_1855.S.061044.061035N3413.0060.nh.fits,1209,796.788703704,92.654771504,-34.141101294,58.1796170967,14.3672559569,19.5843822788,0.07730548149,21.3130526999
N2188-1.Q2.V.170122_0126.C.051073.061035N3413.0060.nh.fits,1210,752.060358796,92.6547420033,-34.141093983,70.0818605383,25.6149411069,19.3813253508,0.0435282516498,21.7623696049
