Name,index,time,RA,DEC,I,SN,M,Merr,Mlim
N2188-1.Q2.I.161218_0053.S.046568.061035N3413.0060.nh.fits,508,717.037488426,92.6547780918,-34.1412184633,0.892905027581,0.447683659175,23.7528060993,2.47824121428,21.699557571
N2188-1.Q2.I.170303_2122.S.059913.061035N3413.0060.nh.fits,509,792.890844907,92.6547252008,-34.1411052479,58.1963385613,27.3120536492,19.1958110309,0.0422623564076,21.67758845
N2188-1.Q2.I.170227_1255.A.046949.061035N3413.0060.nh.fits,510,788.538854167,92.6547832754,-34.1411010622,62.9282285885,17.7774445021,19.1105290205,0.0636681382104,21.0883047705
N2188-1.Q2.I.161228_2049.S.048659.061035N3413.0060.nh.fits,511,727.867453704,92.6547576852,-34.1410700763,35.5099638482,10.7725538222,19.7347491551,0.103888796891,21.1686868777
N2188-1.Q2.I.170202_2028.S.054319.061035N3413.0060.nh.fits,512,763.853402778,92.6548198147,-34.1411019199,46.5832982681,11.9164994988,19.4386345831,0.094075951251,20.9723653245
N2188-1.Q2.I.161206_0543.C.041539.061035N3413.0060.nh.fits,513,705.238842593,92.6549843198,-34.1410954589,0.10416647216,0.0920388006226,26.0966963077,12.0608124876,22.2349643986
N2188-1.Q2.I.170321_0153.C.063670.061035N3413.0060.nh.fits,514,810.078981481,92.6547631995,-34.1410945862,43.1287606937,21.9305600615,19.5226942824,0.0520657787378,21.7174889382
N2188-1.Q2.I.161220_2239.S.047229.061035N3413.0060.nh.fits,515,719.944131944,92.6547772725,-34.141150986,-0.817388576936,-0.586220744499,nan,nan,22.0372154688
N2188-1.Q2.I.161218_1305.A.038171.061035N3413.0060.nh.fits,516,717.545821759,92.6548235784,-34.1411636287,nan,nan,nan,nan,18.9061426342
N2188-1.Q2.I.161117_0649.C.037659.061035N3413.0060.nh.fits,517,686.284479167,92.6547762974,-34.1412179082,-1.20170205984,-1.28347665588,nan,nan,22.49439612
N2188-1.Q2.I.170311_1117.A.049002.061035N3413.0060.nh.fits,518,800.470740741,92.6547495774,-34.141104487,61.4494413799,31.7130621189,19.13647187,0.0367936912506,21.8114521493
N2188-1.Q2.I.161217_1310.A.037921.061035N3413.0060.nh.fits,519,716.548738426,92.6548891211,-34.1413208344,2.03547157172,0.540159609132,22.8538623497,2.05416905292,21.0094699736
N2188-1.Q2.I.170318_0133.C.062856.061035N3413.0060.nh.fits,520,807.064722222,92.6547494382,-34.141056192,33.1614226307,33.8111381134,19.8093984514,0.0346994349849,22.8124481748
N2188-1.Q2.I.170126_0129.C.051732.061035N3413.0060.nh.fits,521,756.062268519,92.6547536662,-34.1411113823,55.7671392295,27.2754612287,19.2423264768,0.0423387226219,21.7534027333
N2188-1.Q2.I.170113_0241.C.049051.061035N3413.0060.nh.fits,522,743.112465278,92.6547443361,-34.1410895204,36.3229944536,11.7079966574,19.7100526425,0.0958339369776,21.2010366081
N2188-1.Q2.I.170206_2020.S.055046.061035N3413.0060.nh.fits,523,767.847546296,92.6547522083,-34.1410915074,53.5464528101,37.3063360421,19.2866573992,0.0317089071227,22.2291761081
N2188-1.Q2.I.170110_0751.C.048467.061035N3413.0060.nh.fits,524,740.327372685,92.6547570189,-34.1411008371,41.0313379809,28.5915545279,19.5770823476,0.0405167989465,22.1299731035
N2188-1.Q2.I.161104_1549.A.031463.061035N3413.0060.nh.fits,525,673.659224537,92.6551241955,-34.141422848,2.60986192802,0.749152651072,22.5826856927,1.48099397357,21.1104612557
N2188-1.Q2.I.170120_0133.C.050660.061035N3413.0060.nh.fits,526,750.065150463,92.6547453179,-34.1410778725,44.26292843,23.7382463222,19.494376093,0.0482842334758,21.7821629378
N2188-1.Q2.I.161207_1701.A.036516.061035N3413.0060.nh.fits,527,706.709189815,92.6548437824,-34.1411452058,-1.94880274146,-0.930518867904,nan,nan,21.605388298
N2188-1.Q2.I.170111_0219.C.048558.061035N3413.0060.nh.fits,528,741.097025463,92.6547356182,-34.141083889,31.0177394646,39.1648061138,19.8823042521,0.0303647925793,23.1442465572
N2188-1.Q2.I.161119_0753.C.038139.061035N3413.0060.nh.fits,529,688.328796296,92.6546046,-34.141516626,1.22941432405,1.19041195276,23.4039068819,0.932405153168,22.3445063993
N2188-1.Q2.I.161224_2052.S.047826.061035N3413.0060.nh.fits,530,723.870104167,92.6549395895,-34.1411413961,6.42231639573,1.97964844919,21.6003073896,0.560497341358,21.1788007371
N2188-1.Q2.I.161120_0642.C.038309.061035N3413.0060.nh.fits,531,689.279270833,92.6548003225,-34.1411134589,-1.96709344465,-0.807633327848,nan,nan,21.4675513245
N2188-1.Q2.I.161217_0143.S.046346.061035N3413.0060.nh.fits,532,716.071898148,92.6548001233,-34.1411542274,-2.07602158143,-0.746794003279,nan,nan,21.3200445327
N2188-1.Q2.I.170108_0734.C.047975.061035N3413.0060.nh.fits,533,738.315451389,92.6547502107,-34.1410955748,37.307879429,34.6790866444,19.6808659151,0.0338941251682,22.5209071639
N2188-1.Q2.I.161029_1606.A.030276.061035N3413.0060.nh.fits,534,667.671006944,92.6548855034,-34.1412013803,-4.17537140156,-0.662700282631,nan,nan,20.4214946072
N2188-1.Q2.I.161228_1102.A.040068.061035N3413.0060.nh.fits,535,727.459988426,92.6546100645,-34.1411649446,93.2116702033,0.263089873727,18.681919565,4.21604906135,16.047202357
N2188-1.Q2.I.170122_0231.C.051104.061035N3413.0060.nh.fits,536,752.105104167,92.6547523179,-34.1410824944,48.8528997587,37.561071315,19.3867363811,0.0315136521613,22.3163824072
N2188-1.Q2.I.161024_1731.A.029383.061035N3413.0060.nh.fits,537,662.730532407,92.6548108865,-34.1415622814,1.27219707692,0.707062407888,23.3665882971,1.56946431943,21.7924590432
N2188-1.Q2.I.161220_0623.C.044124.061035N3413.0060.nh.fits,538,719.266365741,92.654805617,-34.1411517967,-0.377766339195,-0.656840456364,nan,nan,23.0262390067
N2188-1.Q2.I.161219_1514.A.038363.061035N3413.0060.nh.fits,539,718.635405093,92.6547618003,-34.1412160935,-1.54471040025,-0.701703560164,nan,nan,21.5890620499
N2188-1.Q2.I.170417_1917.S.005002.061035N3413.0060.nh.fits,540,837.803819444,92.654743896,-34.1411310385,13.5321146899,5.79783235582,20.7872383704,0.191905586221,21.5545640274
N2188-1.Q2.I.170223_2053.S.057870.061035N3413.0060.nh.fits,541,784.870324074,92.6547513372,-34.1410975998,55.9266000873,29.542527001,19.2392114664,0.0392894566615,21.8190280881
N2188-1.Q2.I.170420_0859.A.055386.061035N3413.0060.nh.fits,542,840.374537037,92.6547634679,-34.1411143444,14.132522372,10.596437627,20.739877093,0.105675034722,22.1834793527
N2188-1.Q2.I.170330_0029.C.000603.061035N3413.0060.nh.fits,543,819.0203125,92.6547871628,-34.1411317655,35.0529977297,9.86114693423,19.7488793195,0.113350236012,21.0771640015
N2188-1.Q2.I.161217_2345.S.046537.061035N3413.0060.nh.fits,544,716.990162037,92.6542992542,-34.1416677886,1.08512101242,0.359288577685,23.5401077619,3.08692767229,21.2345297818
N2188-1.Q2.I.161227_1200.A.039856.061035N3413.0060.nh.fits,545,726.500104167,92.6547142198,-34.1411177716,47.1391952792,13.2025586196,19.4256929364,0.0851111649841,21.140426819
N2188-1.Q2.I.161115_0036.S.041241.061035N3413.0060.nh.fits,546,684.025428241,92.6548868421,-34.1411458327,nan,nan,nan,nan,20.4065418047
N2188-1.Q2.I.161118_0753.C.037905.061035N3413.0060.nh.fits,547,687.328923611,92.6555354735,-34.14043552,0.194620289568,0.0924861224814,25.4147883899,11.9998984463,21.6282009172
N2188-1.Q2.I.170112_0355.C.048844.061035N3413.0060.nh.fits,548,742.163310185,92.6547337124,-34.141055582,22.1645484879,30.4061246222,20.2489338047,0.0382861221047,23.0979482053
N2188-1.Q2.I.170131_1928.S.053840.061035N3413.0060.nh.fits,549,761.811400463,92.6547228234,-34.1411029614,54.2559355289,41.2004868231,19.2722974252,0.0290035425526,22.3645871417
N2188-1.Q2.I.170119_1224.A.042221.061035N3413.0060.nh.fits,550,749.51693287,92.6547830803,-34.1411015181,72.7210610375,10.7350880164,18.9527384937,0.104249806801,20.3853143847
N2188-1.Q2.I.170330_1100.A.051106.061035N3413.0060.nh.fits,551,819.458796296,92.6554057617,-34.1411116866,38.7074178689,3.49808468784,19.6406899004,0.317661595781,19.8240233678
N2188-1.Q2.I.170307_1134.A.048079.061035N3413.0060.nh.fits,552,796.482233796,92.6547446105,-34.1411210737,62.0302237282,13.3514668841,19.1262093242,0.0841482578353,20.759843378
N2188-1.Q2.I.170329_2031.S.000738.061035N3413.0060.nh.fits,553,818.855208333,92.6547386965,-34.141104695,38.3757448135,35.5950979391,19.6500782076,0.0330938232881,22.5963027096
N2188-1.Q2.I.161206_0655.C.041569.061035N3413.0060.nh.fits,554,705.288541667,92.6547080177,-34.1415067878,0.351368211119,0.580530292041,24.7702736147,1.9120209456,23.0592459112
N2188-1.Q2.I.170130_1922.S.053588.061035N3413.0060.nh.fits,555,760.807002315,92.6547163791,-34.1411154381,54.9312721901,27.6082604616,19.2588019542,0.041823663764,21.7659386931
N2188-1.Q2.I.161115_1604.A.032986.061035N3413.0060.nh.fits,556,684.669953704,92.6548759471,-34.1411279262,nan,nan,nan,nan,20.7670934242
N2188-1.Q2.I.170209_1351.A.044075.061035N3413.0060.nh.fits,557,770.577118056,92.6547490846,-34.1410894091,62.6277662355,37.5963174079,19.1157504255,0.0314964978141,22.0922661819
N2188-1.Q2.I.170404_1005.A.052106.061035N3413.0060.nh.fits,558,824.42068287,92.6548097711,-34.141139459,37.6298303,7.14109713665,19.6714918967,0.156016193755,20.6339338281
N2188-1.Q2.I.170208_1920.S.055444.061035N3413.0060.nh.fits,559,769.806226852,92.6548035582,-34.1410983445,48.5874493917,16.1894425871,19.3926803908,0.0697149973005,21.309223647
N2188-1.Q2.I.170218_0329.C.056328.061035N3413.0060.nh.fits,560,779.145266204,92.6547500382,-34.1410913826,47.8433981633,43.7986891221,19.4095160225,0.0274807074479,22.6300543883
N2188-1.Q2.I.170404_0119.C.001968.061035N3413.0060.nh.fits,561,824.055497685,92.6547313381,-34.1411115419,33.1163534826,15.2269391754,19.8108821492,0.0740611738039,21.576575808
N2188-1.Q2.I.161227_2049.S.048538.061035N3413.0060.nh.fits,562,726.867743056,92.6547950303,-34.1411427474,28.2442144146,9.10849983048,19.9844940299,0.122598500262,21.2561501289
N2188-1.Q2.I.161119_0645.C.038109.061035N3413.0060.nh.fits,563,688.281446759,92.6548802948,-34.1414075882,1.37214835133,1.25053178088,23.2840774501,0.88752817063,22.3520464978
N2188-1.Q2.I.170309_1840.S.061616.061035N3413.0060.nh.fits,564,798.778043981,92.654755795,-34.1411119444,54.5795810172,33.3983962999,19.2658090772,0.0350741911093,22.0407726811
N2188-1.Q2.I.170423_0006.C.006242.061035N3413.0060.nh.fits,565,843.004398148,92.6547570004,-34.1410931796,11.3311277386,5.25147125579,20.9808948169,0.211896948199,21.5806764771
N2188-1.Q2.I.170121_1917.S.052039.061035N3413.0060.nh.fits,566,751.802465278,92.6547459299,-34.1411114566,54.1578496424,33.01024728,19.2742714658,0.0354502653478,22.0130433824
N2188-1.Q2.I.170402_1049.A.051808.061035N3413.0060.nh.fits,567,822.45130787,92.6547724139,-34.1410897703,39.6337185111,7.66787923454,19.6148901039,0.145382195465,20.6435327044
N2188-1.Q2.I.161219_0559.C.043872.061035N3413.0060.nh.fits,568,718.249548611,92.6548012264,-34.1411925875,-0.569890166703,-0.987659334163,nan,nan,23.107386313
N2188-1.Q2.I.170118_0131.C.050177.061035N3413.0060.nh.fits,569,748.06349537,92.6547372245,-34.1410697131,38.2034982569,42.5864777293,19.654985864,0.0281794705304,22.9895987649
N2188-1.Q2.I.161201_0626.C.040356.061035N3413.0060.nh.fits,570,700.268518519,92.6548482688,-34.1414603732,1.20074020818,1.99864452209,23.4296529103,0.555597323083,23.1067821926
N2188-1.Q2.I.170123_0247.C.051299.061035N3413.0060.nh.fits,571,753.116122685,92.6546330677,-34.1410538199,145.871536462,2.72493036116,18.1933348931,0.407478499936,18.0832873811
