Name,KSPtime,Location,index,time,RA,DEC,I,SN,M,Merr,Mlim
N2188-1.Q2.I.161219_0711.C.043902.061035N3413.0060.nh.fits,2016-12-19T07:11:00.000,C,1292,353.299675926,92.6548110588,-34.1411215735,3.28631680109,0.362486000064,22.3312548523,3.05276941682,20.6130596434
N2188-1.Q2.I.170112_0140.C.048783.061035N3413.0060.nh.fits,2017-01-12T01:40:00.000,C,1293,377.07005787,92.6548005565,-34.1411468496,57.9366418399,1.21825562924,19.2006901966,0.909177284493,18.8292039955
N2188-1.Q2.I.170307_1134.A.048079.061035N3413.0060.nh.fits,2017-03-07T11:34:00.000,A,1294,431.482222222,92.654830519,-34.1411494634,56.7380574024,13.7933699994,19.2234962839,0.0824652768247,20.582015092
N2188-1.Q2.I.170121_2022.S.052069.061035N3413.0060.nh.fits,2017-01-21T20:22:00.000,S,1295,386.847777778,92.6548313176,-34.1411361697,58.0928999007,37.4453738891,19.1977518159,0.0322675263033,22.1441037312
N2188-1.Q2.I.170319_0143.C.063146.061035N3413.0060.nh.fits,2017-03-19T01:43:00.000,C,1296,443.072060185,92.6548626136,-34.1411184852,52.5983604834,35.3114485476,19.3061467488,0.0335438426606,22.4484961941
N2188-1.Q2.I.161207_0720.C.041834.061035N3413.0060.nh.fits,2016-12-07T07:20:00.000,C,1297,341.30556713,92.65487401,-34.1411144026,-0.0878915515666,-0.0402816339449,nan,nan,22.3035543509
N2188-1.Q2.I.170404_1005.A.052106.061035N3413.0060.nh.fits,2017-04-04T10:05:00.000,A,1298,459.420671296,92.6548261616,-34.1411696418,30.2213794913,12.6926922464,19.910679451,0.0883162028153,20.7897274128
N2188-1.Q2.I.170205_0124.C.053158.061035N3413.0060.nh.fits,2017-02-05T01:24:00.000,C,1299,401.058530093,92.6548074459,-34.141207881,57.926812469,34.4960017626,19.2008752994,0.0339156360256,22.0630281023
N2188-1.Q2.I.170430_0928.A.056478.061035N3413.0060.nh.fits,2017-04-30T09:28:00.000,A,1300,485.395,92.6548637574,-34.1411467674,12.3714364891,4.15975394961,20.8850695668,0.266547886292,20.710996795
N2188-1.Q2.I.170223_0104.C.057572.061035N3413.0060.nh.fits,2017-02-23T01:04:00.000,C,1301,419.045046296,92.6548130161,-34.1411585915,56.5780350055,22.34026594,19.2265775088,0.0512754634211,21.1886172847
N2188-1.Q2.I.170331_1812.S.001253.061035N3413.0060.nh.fits,2017-03-31T18:12:00.000,S,1302,455.758564815,92.6548218876,-34.1411651741,50.6529022102,38.6171178772,19.3472628468,0.0305616321488,22.6042602186
N2188-1.Q2.I.161119_0753.C.038139.061035N3413.0060.nh.fits,2016-11-19T07:53:00.000,C,1303,323.328784722,92.6548037187,-34.1411607291,-0.0774669433314,-0.0377301013487,nan,nan,22.0533879202
N2188-1.Q2.I.170418_1926.S.005311.061035N3413.0060.nh.fits,2017-04-18T19:26:00.000,S,1304,473.810416667,92.6548022052,-34.1411965007,19.5771412223,7.29376417979,20.3843547578,0.152484111178,21.2399063461
N2188-1.Q2.I.161212_0754.C.042700.061035N3413.0060.nh.fits,2016-12-12T07:54:00.000,C,1305,346.32931713,92.6547815366,-34.14113891,9.28345901324,1.36674749698,21.1983418545,0.809891935684,20.8139076425
N2188-1.Q2.I.161217_2137.S.046477.061035N3413.0060.nh.fits,2016-12-17T21:37:00.000,S,1306,351.900891204,92.6548772862,-34.1411339943,5.55760587728,2.80685892368,21.7580709175,0.394601827677,21.826677541
