0.62,14005
1,13019
1.01,13019
1.61,12213
1.62,12213
2.01,11362
2.59,11466
2.63,10788
2.64,10788
3.64,10259
4,10138
11.14,10189
13.14,9491.2
15.14,9259.3
17.14,8770.9
19.14,8356.5
21.14,7824
23.14,7645.7
25.14,7158.4
27.14,7075.6
29.14,6940.5
31.14,6755.7
33.14,6641.2
36.14,6361.2
38.14,6203.9
39.14,6208.8
42.14,6184
43.14,6137.8
48.14,5881.1
49.14,6009.2
51.14,6055.6
53.14,5861.9
55.14,5837.5
57.14,5736.3
60.14,5549.8
64.14,5502.9
66.14,5638
68.14,5505
70.14,5504.9
72.14,5451.8
74.14,5467.2
76.14,5449.2
78.14,4897.2
80.14,5271.8
82.14,5261.7
83.14,5209.8
85.14,5281.2
92.14,5094.5
94.14,5055.3
98.14,4962.5
100.14,4989.5
104.14,5182.6
108.14,4754.1
