Name,KSPtime,Location,index,time,RA,DEC,I,SN,M,Merr,Mlim
N2188-1.Q2.I.170320_0143.C.063405.061035N3413.0060.nh.fits,2017-03-20T01:43:00.000,C,484,809.071747685,92.6547712559,-34.1410826121,42.7384389325,28.9136898456,19.5326124718,0.039199092096,22.1647927442
N2188-1.Q2.I.161201_0520.C.040326.061035N3413.0060.nh.fits,2016-12-01T05:20:00.000,C,485,700.222777778,92.6547789801,-34.1412111885,-2.68588571775,-0.252205844124,nan,nan,19.7944753516
N2188-1.Q2.I.170402_1157.A.051839.061035N3413.0060.nh.fits,2017-04-02T11:57:00.000,A,486,822.497939815,92.6546631055,-34.1411094266,41.2914396669,6.88799694775,19.5701885498,0.161139862224,20.5329225992
N2188-1.Q2.I.170113_0130.C.049021.061035N3413.0060.nh.fits,2017-01-13T01:30:00.000,C,487,743.063125,92.6547189782,-34.1410878153,43.8703041285,21.5024807262,19.5040962727,0.0523503532492,21.7073382877
N2188-1.Q2.I.161218_0449.C.043606.061035N3413.0060.nh.fits,2016-12-18T04:49:00.000,C,488,717.201342593,92.654758831,-34.1412016089,-0.0690112881258,-0.0140122660909,nan,nan,20.7406268397
N2188-1.Q2.I.170301_1240.A.047104.061035N3413.0060.nh.fits,2017-03-01T12:40:00.000,A,489,790.527986111,92.6547532308,-34.1411142165,64.3004471464,25.1309715613,19.0869953828,0.0449347122329,21.5205470003
N2188-1.Q2.I.170307_1241.A.048111.061035N3413.0060.nh.fits,2017-03-07T12:41:00.000,A,490,796.528958333,92.6547631545,-34.1411191988,nan,nan,nan,nan,15.5787931414
N2188-1.Q2.I.170404_1822.S.002463.061035N3413.0060.nh.fits,2017-04-04T18:22:00.000,S,491,824.76587963,92.6547473629,-34.1410898148,62.9290238955,12.5627537623,19.1105152329,0.0888126195351,20.7091769974
N2188-1.Q2.I.161217_2137.S.046477.061035N3413.0060.nh.fits,2016-12-17T21:37:00.000,S,492,716.900902778,92.6554790488,-34.1410241416,0.62918855645,0.634362073401,24.1346915256,1.74507927971,22.4811388099
N2188-1.Q2.I.161023_1731.A.029129.061035N3413.0060.nh.fits,2016-10-23T17:31:00.000,A,493,661.729930556,92.6547662873,-34.1412039246,nan,nan,nan,nan,20.9428730522
N2188-1.Q2.I.170416_0907.A.054231.061035N3413.0060.nh.fits,2017-04-16T09:07:00.000,A,494,836.380289352,92.6552344668,-34.1407461905,113.75302626,0.338099559914,18.4646499794,3.27299644263,16.0891708449
N2188-1.Q2.I.170129_1928.S.053346.061035N3413.0060.nh.fits,2017-01-29T19:28:00.000,S,495,759.81162037,92.6547450869,-34.1410926179,51.0126850505,25.0611667157,19.339541337,0.0450546007417,21.7357795741
N2188-1.Q2.I.161213_1705.A.037690.061035N3413.0060.nh.fits,2016-12-13T17:05:00.000,A,496,712.712002315,92.654802266,-34.1412173178,nan,nan,nan,nan,nan
N2188-1.Q2.I.161216_0153.S.046105.061035N3413.0060.nh.fits,2016-12-16T01:53:00.000,S,497,715.078865741,92.6548083173,-34.1408617759,1.38235701503,0.153072593101,23.2759909387,7.22900948323,20.055921003
N2188-1.Q2.I.170121_1053.A.042307.061035N3413.0060.nh.fits,2017-01-21T10:53:00.000,A,498,751.453715278,92.6547459774,-34.141105771,71.7487104941,22.8193940504,18.9674239138,0.0493812876087,21.2615646491
N2188-1.Q2.I.170217_0217.C.056041.061035N3413.0060.nh.fits,2017-02-17T02:17:00.000,C,499,778.09568287,92.6547437423,-34.1410854494,41.250289715,43.5434320441,19.5712763015,0.0263473248987,22.805906785
N2188-1.Q2.I.170415_1750.S.004329.061035N3413.0060.nh.fits,2017-04-15T17:50:00.000,S,500,835.743587963,92.6547665975,-34.1411004696,14.0749889836,6.1030836183,20.7443273975,0.181763427432,21.5297047121
N2188-1.Q2.I.161219_1256.A.038301.061035N3413.0060.nh.fits,2016-12-19T12:56:00.000,A,501,718.539583333,92.6548369126,-34.141096674,1.33460572628,0.665254804419,23.3143422377,1.66406350144,21.7228669766
N2188-1.Q2.I.170114_0400.C.049326.061035N3413.0060.nh.fits,2017-01-14T04:00:00.000,C,502,744.167048611,92.6547329811,-34.1410532982,26.2189418258,34.7286092803,20.0656676515,0.0328127845065,23.1347928819
N2188-1.Q2.I.170410_1903.S.003325.061035N3413.0060.nh.fits,2017-04-10T19:03:00.000,S,503,830.794016204,92.6547328157,-34.1411173665,30.0820545287,20.8272356758,19.9157205079,0.0540009989031,22.1591014748
N2188-1.Q2.I.170204_1922.S.054657.061035N3413.0060.nh.fits,2017-02-04T19:22:00.000,S,504,765.807013889,92.6547744123,-34.1411241465,47.7976534346,8.22325397092,19.4105596143,0.135112611591,20.5612317717
N2188-1.Q2.I.161217_1417.A.037952.061035N3413.0060.nh.fits,2016-12-17T14:17:00.000,A,505,716.595601852,92.6549864957,-34.1410882194,3.35635397357,0.698281817871,22.308249128,1.58498019973,20.7232144546
N2188-1.Q2.I.170212_1200.A.044538.061035N3413.0060.nh.fits,2017-02-12T12:00:00.000,A,506,773.500520833,92.6550738213,-34.1411672745,48.9150665361,4.16347998914,19.385349,0.266239325672,19.790597561
N2188-1.Q2.I.170309_2053.S.061676.061035N3413.0060.nh.fits,2017-03-09T20:53:00.000,S,507,798.87068287,92.6547699613,-34.1411799195,41.4298200898,9.48328281964,19.5665385583,0.117282242654,20.8267522041
N2188-1.Q2.I.161219_1726.A.038423.061035N3413.0060.nh.fits,2016-12-19T17:26:00.000,A,508,718.726747685,92.6546558088,-34.1407344529,2.53203067793,0.450973118615,22.6157148975,2.45427862619,20.6045482676
N2188-1.Q2.I.161026_1624.A.029737.061035N3413.0060.nh.fits,2016-10-26T16:24:00.000,A,509,664.683946759,92.6548852693,-34.1411358583,-5.13715390631,-0.257520544366,nan,nan,19.161141216
