N2188-1.Q2.B.170129_2031.S.053374.061035N3413.0060.nh.fits,2017-01-29T20:31:00.000,S,27.0,394.855277778,92.6547720219,-34.1410672058,43.8114326271,29.6690383609,20.0654092266,0.0374137412932,22.5300182892
N2188-1.Q2.B.170115_1928.S.050841.061035N3413.0060.nh.fits,2017-01-15T19:28:00.000,S,28.0,380.811574074,92.6546588317,-34.1411363077,56.4531492061,17.0588711507,19.7888362204,0.0648409613549,21.3773394646
N2188-1.Q2.B.170331_0233.C.000916.061035N3413.0060.nh.fits,2017-03-31T02:33:00.000,C,30.0,455.106851852,92.6547700324,-34.1411240708,22.6409478276,8.58819033624,20.7855816678,0.128480836296,21.9792331848
N2188-1.Q2.B.170112_0706.C.048932.061035N3413.0060.nh.fits,2017-01-12T07:06:00.000,C,31.0,377.296423611,92.6547425017,-34.1411131265,51.0946790548,10.4112648624,19.897637216,0.106051543379,20.8595224147
N2188-1.Q2.B.170211_0120.C.054473.061035N3413.0060.nh.fits,2017-02-11T01:20:00.000,C,32.0,407.05587963,92.6548030572,-34.1410960824,37.6731326677,29.1051667525,20.2300851947,0.0381519301856,23.2603505782
N2188-1.Q2.B.170330_0024.C.000601.061035N3413.0060.nh.fits,2017-03-30T00:24:00.000,C,33.0,454.016805556,92.6546747478,-34.1410678651,13.2033163677,9.83473560343,21.3739211425,0.11222545594,22.1410296712
N2188-1.Q2.B.161130_1357.A.035423.061035N3413.0060.nh.fits,2016-11-30T13:57:00.000,A,34.0,334.581412037,92.6548584071,-34.1411296268,nan,nan,nan,nan,21.0270064884
N2188-1.Q2.B.170112_0601.C.048902.061035N3413.0060.nh.fits,2017-01-12T06:01:00.000,C,35.0,377.2509375,92.6547992327,-34.1410772815,70.2724149634,35.704558759,19.5499532978,0.0311686621477,22.7402862954
N2188-1.Q2.B.170320_0035.C.063373.061035N3413.0060.nh.fits,2017-03-20T00:35:00.000,C,37.0,444.024953704,92.6547662546,-34.1410927329,22.9855838498,23.6335704936,20.7691005974,0.0468868534648,23.0927629135
N2188-1.Q2.B.170402_1045.A.051806.061035N3413.0060.nh.fits,2017-04-02T10:45:00.000,A,39.0,457.448206019,92.6548767542,-34.1409260189,8.41276837237,2.99097087786,21.8656303165,0.368627745686,21.2734995676
N2188-1.Q2.B.170328_1939.S.000418.061035N3413.0060.nh.fits,2017-03-28T19:39:00.000,S,40.0,452.819247685,92.654783703,-34.141194496,16.6082938775,8.81625879704,21.1236204604,0.12516208479,21.6815544041
N2188-1.Q2.B.161220_0001.S.047039.061035N3413.0060.nh.fits,2016-12-20T00:01:00.000,S,41.0,354.001365741,92.6548635461,-34.1411846439,nan,nan,nan,nan,21.6162922311
N2188-1.Q2.B.161217_1413.A.037950.061035N3413.0060.nh.fits,2016-12-17T14:13:00.000,A,43.0,351.592476852,92.6547803449,-34.1411820464,nan,nan,nan,nan,20.7163787825
