Name,KSPtime,Location,index,time,RA,DEC,I,SN,M,Merr,Mlim
N2188-1.Q2.V.161207_1659.A.036515.061035N3413.0060.nh.fits,2016-12-07T16:59:00.000,A,984,706.707743056,92.6535916202,-34.1410530792,6.74967462666,1.71127291825,21.9343281871,0.645014048465,21.2749134046
N2188-1.Q2.V.161024_1730.A.029382.061035N3413.0060.nh.fits,2016-10-24T17:30:00.000,A,985,662.729178241,92.6536414349,-34.141046834,1.58985066149,0.593340978295,23.51167957,1.86058443333,21.7180916116
N2188-1.Q2.V.161212_1656.A.037444.061035N3413.0060.nh.fits,2016-12-12T16:56:00.000,A,986,711.7059375,92.654814337,-34.1411367494,-3.63250265015,-0.394220938762,nan,nan,20.3808727737
N2188-1.Q2.V.161207_0233.C.041706.061035N3413.0060.nh.fits,2016-12-07T02:33:00.000,C,987,706.106840278,92.6548853976,-34.1412050129,-1.80899292954,-0.61714449402,nan,nan,21.660075421
N2188-1.Q2.V.161218_0447.C.043605.061035N3413.0060.nh.fits,2016-12-18T04:47:00.000,C,988,717.199826389,92.6547743799,-34.1412130415,-0.18923453305,-0.124309585235,nan,nan,22.2843373726
N2188-1.Q2.V.161208_0343.C.041988.061035N3413.0060.nh.fits,2016-12-08T03:43:00.000,C,989,707.155115741,92.653481572,-34.1410954233,11.8713192478,2.5121472284,21.318345227,0.439388369225,21.1300403778
N2188-1.Q2.V.161205_0753.C.041352.061035N3413.0060.nh.fits,2016-12-05T07:53:00.000,C,990,704.328703704,92.6538472699,-34.1409641103,0.890292093599,0.543877447735,24.1442609941,2.03013726505,22.2863993728
N2188-1.Q2.V.161225_2051.S.048042.061035N3413.0060.nh.fits,2016-12-25T20:51:00.000,S,991,724.868935185,92.6546791848,-34.1410140969,49.760447161,20.6853474156,19.7549133785,0.0535180004864,21.9246753592
N2188-1.Q2.V.170331_0130.C.000887.061035N3413.0060.nh.fits,2017-03-31T01:30:00.000,C,992,820.062511574,92.6547207725,-34.1410882331,55.0755395569,26.221816176,19.6441982694,0.0422687031571,22.1719889214
N2188-1.Q2.V.161027_0819.C.033415.061035N3413.0060.nh.fits,2016-10-27T08:19:00.000,C,993,665.346608796,92.6548601583,-34.1411605456,-0.6306280294,-0.386789108013,nan,nan,22.3053011854
N2188-1.Q2.V.170402_1925.S.001873.061035N3413.0060.nh.fits,2017-04-02T19:25:00.000,S,994,822.809594907,92.6548651088,-34.1411359329,-1068.63402156,-5.3212627248,nan,nan,16.0526804393
N2188-1.Q2.V.170317_0156.C.062594.061035N3413.0060.nh.fits,2017-03-17T01:56:00.000,C,995,806.081168981,92.6546981992,-34.1410727552,69.3090879961,26.209043377,19.393421733,0.0422900943693,21.9157419256
N2188-1.Q2.V.161116_0647.C.037395.061035N3413.0060.nh.fits,2016-11-16T06:47:00.000,C,996,685.283321759,92.6547752099,-34.1413036442,1.51297405946,0.62380406388,23.5657499931,1.77149537703,21.7320722789
N2188-1.Q2.V.170218_0111.C.056267.061035N3413.0060.nh.fits,2017-02-18T01:11:00.000,C,997,779.049224537,92.6547068973,-34.1410703667,77.3721163927,16.9055554829,19.2733624709,0.0654279068484,21.1990237129
N2188-1.Q2.V.161218_0051.S.046567.061035N3413.0060.nh.fits,2016-12-18T00:51:00.000,S,998,717.035925926,92.6548713695,-34.1411444772,nan,nan,nan,nan,21.1940211713
N2188-1.Q2.V.170208_0117.C.053766.061035N3413.0060.nh.fits,2017-02-08T01:17:00.000,C,999,769.054189815,92.654687759,-34.1410784913,83.3295660621,15.2986961641,19.1924392857,0.0722783527745,20.9764332404
N2188-1.Q2.V.170124_2045.S.052405.061035N3413.0060.nh.fits,2017-01-24T20:45:00.000,S,1000,754.863506944,92.6545847135,-34.1410860881,83.985189318,10.5754941752,19.1838894794,0.104501250545,20.5857251187
N2188-1.Q2.V.170110_0214.C.048312.061035N3413.0060.nh.fits,2017-01-10T02:14:00.000,C,1001,740.093148148,92.6547394735,-34.1410832005,89.4374158928,29.35373055,19.1152703381,0.0377919872856,21.6342914899
N2188-1.Q2.V.161228_1210.A.040098.061035N3413.0060.nh.fits,2016-12-28T12:10:00.000,A,1002,727.507060185,92.6546488359,-34.1410606054,84.3949083821,19.4966011899,19.1785802656,0.0567633315747,21.2885314087
N2188-1.Q2.V.161219_0159.S.046845.061035N3413.0060.nh.fits,2016-12-19T01:59:00.000,S,1003,718.082731481,92.6548146358,-34.1411809034,nan,nan,nan,nan,20.9608620314
N2188-1.Q2.V.170114_0717.C.049415.061035N3413.0060.nh.fits,2017-01-14T07:17:00.000,C,1004,744.303715278,92.6547393891,-34.1410891907,96.8770512188,19.9680806813,19.028099747,0.0554536378454,21.0662205468
N2188-1.Q2.V.161201_1509.A.035613.061035N3413.0060.nh.fits,2016-12-01T15:09:00.000,A,1005,700.631446759,92.6536738598,-34.1410253249,3.34273134124,1.17006977296,22.7009437748,0.943500751311,21.6722457828
N2188-1.Q2.V.161205_0642.C.041322.061035N3413.0060.nh.fits,2016-12-05T06:42:00.000,C,1006,704.279421296,92.6548659121,-34.1411695777,-1.04289833542,-0.62404329981,nan,nan,22.2387230442
N2188-1.Q2.V.170221_1037.A.045743.061035N3413.0060.nh.fits,2017-02-21T10:37:00.000,A,1007,782.442523148,92.6547033405,-34.1410754443,80.6564603747,43.2731560474,19.2280091084,0.0256996068896,22.4443919646
N2188-1.Q2.V.161208_0707.C.042080.061035N3413.0060.nh.fits,2016-12-08T07:07:00.000,C,1008,707.296840278,92.6548464026,-34.141171895,nan,nan,nan,nan,20.8353196786
N2188-1.Q2.V.170206_0221.C.053378.061035N3413.0060.nh.fits,2017-02-06T02:21:00.000,C,1009,767.09837963,92.6547174489,-34.1410715989,83.8334067972,25.5593731939,19.1858628822,0.043359440503,21.5460487027
N2188-1.Q2.V.170218_0327.C.056327.061035N3413.0060.nh.fits,2017-02-18T03:27:00.000,C,1010,779.143923611,92.6546632628,-34.1410772151,84.0671807691,32.0522182745,19.1828249494,0.0346165907823,21.8643462225
N2188-1.Q2.V.170331_1201.A.051296.061035N3413.0060.nh.fits,2017-03-31T12:01:00.000,A,1011,820.501400463,92.6548153296,-34.1410361574,26.8822515253,1.78112006589,20.4266689873,0.619664801822,19.829519789
N2188-1.Q2.V.170309_0337.C.060790.061035N3413.0060.nh.fits,2017-03-09T03:37:00.000,C,1012,798.151319444,92.6546935206,-34.1410776901,76.6288776727,12.3745423006,19.2838928041,0.0893362689701,20.8370323149
N2188-1.Q2.V.170218_1414.A.045020.061035N3413.0060.nh.fits,2017-02-18T14:14:00.000,A,1013,779.593553241,92.6548488193,-34.141169429,nan,nan,nan,nan,19.7939438829
N2188-1.Q2.V.170213_0113.C.054967.061035N3413.0060.nh.fits,2017-02-13T01:13:00.000,C,1014,774.051030093,92.6547367076,-34.1410907463,81.8242652728,36.1134752893,19.2123268045,0.0307709695032,22.137753591
N2188-1.Q2.V.170309_2051.S.061675.061035N3413.0060.nh.fits,2017-03-09T20:51:00.000,S,1015,798.8690625,92.6539876426,-34.1410528204,42.6093973511,5.1885708574,19.9241691316,0.212825183268,20.5033481218
N2188-1.Q2.V.161202_1705.A.035732.061035N3413.0060.nh.fits,2016-12-02T17:05:00.000,A,1016,701.711909722,92.6535648066,-34.1410836214,20.2525306293,3.48621277842,20.73561068,0.316649031933,20.8826136193
N2188-1.Q2.V.170110_0319.C.048342.061035N3413.0060.nh.fits,2017-01-10T03:19:00.000,C,1017,740.138518519,92.6547447622,-34.1410897089,89.8994647492,35.2069578156,19.1096488254,0.03156616304,21.9236549944
N2188-1.Q2.V.170119_1106.A.042189.061035N3413.0060.nh.fits,2017-01-19T11:06:00.000,A,1018,749.462523148,92.6546902684,-34.1410858654,91.6584286367,25.0844543985,19.0885095879,0.0441692308748,21.5308311627
N2188-1.Q2.V.161218_0814.C.043695.061035N3413.0060.nh.fits,2016-12-18T08:14:00.000,C,1019,717.34375,92.6547930671,-34.1411807442,-0.73328752066,-0.34569516844,nan,nan,21.9834706616
N2188-1.Q2.V.170213_0220.C.054997.061035N3413.0060.nh.fits,2017-02-13T02:20:00.000,C,1020,774.097407407,92.6547421869,-34.1410872648,86.0881225288,34.1483762632,19.1569092656,0.0325339303102,21.9513423743
N2188-1.Q2.V.170218_0220.C.056297.061035N3413.0060.nh.fits,2017-02-18T02:20:00.000,C,1021,779.097731481,92.6546891677,-34.1410781678,80.5110338646,20.494197965,19.2299779019,0.0540055900354,21.3734247682
N2188-1.Q2.V.170113_0344.C.049080.061035N3413.0060.nh.fits,2017-01-13T03:44:00.000,C,1022,743.156215278,92.6547182479,-34.1411093391,86.0895703371,20.0715360821,19.1568909185,0.055170395365,21.2873838999
N2188-1.Q2.V.170416_1751.S.004648.061035N3413.0060.nh.fits,2017-04-16T17:51:00.000,S,1023,836.74443287,92.6535999068,-34.1410831625,15.2927851229,3.34202049452,21.0420563708,0.330305305424,21.1322859895
N2188-1.Q2.V.161213_1549.A.037657.061035N3413.0060.nh.fits,2016-12-13T15:49:00.000,A,1024,712.659502315,92.654799703,-34.1411614819,nan,nan,nan,nan,20.088247672
N2188-1.Q2.V.161030_0557.C.034164.061035N3413.0060.nh.fits,2016-10-30T05:57:00.000,C,1025,668.248541667,92.6536211422,-34.1410566819,1.64365129028,0.770190980358,23.475372747,1.43341498779,21.9865752959
N2188-1.Q2.V.170125_2058.S.052631.061035N3413.0060.nh.fits,2017-01-25T20:58:00.000,S,1026,755.874259259,92.6546208871,-34.1410805842,91.6597897747,13.2778149806,19.0884933873,0.0832449585509,20.7444087848
N2188-1.Q2.V.170211_1236.A.044424.061035N3413.0060.nh.fits,2017-02-11T12:36:00.000,A,1027,772.525162037,92.654665855,-34.1411002822,74.3755643266,9.10696493748,19.3164538275,0.121299820071,20.5500499454
N2188-1.Q2.V.161106_1530.A.031914.061035N3413.0060.nh.fits,2016-11-06T15:30:00.000,A,1028,675.645972222,92.653802343,-34.1410201214,1.22447739895,0.581684983977,23.7965543328,1.89802292502,22.02103615
N2188-1.Q2.V.170109_0640.C.048191.061035N3413.0060.nh.fits,2017-01-09T06:40:00.000,C,1029,739.278391204,92.654730464,-34.1410826564,90.0261418049,30.5435742127,19.1081126564,0.0363204388777,21.7752659782
N2188-1.Q2.V.170119_2014.S.051613.061035N3413.0060.nh.fits,2017-01-19T20:14:00.000,S,1030,749.843206019,92.654624793,-34.1410850386,90.5515157276,9.93930055585,19.1017646163,0.111149782241,20.4263017948
