Name,KSPtime,Location,index,time,RA,DEC,I,SN,M,Merr,Mlim
N2188-1.Q2.V.170209_1348.A.044074.061035N3413.0060.nh.fits,2017-02-09T13:48:00.000,A,1151,405.575300926,92.6547274964,-34.1410935374,85.4342355878,17.0776086818,19.1415956866,0.0638942053888,21.0410867042
N2188-1.Q2.V.161027_0819.C.033415.061035N3413.0060.nh.fits,2016-10-27T08:19:00.000,C,1152,300.346597222,92.6548601583,-34.1411605456,-1.26434360547,-0.191818797608,nan,nan,20.7052492754
N2188-1.Q2.V.170309_1227.A.048492.061035N3413.0060.nh.fits,2017-03-09T12:27:00.000,A,1153,433.51943287,92.6547953403,-34.1410457779,62.7154224025,10.4197046443,19.4788507434,0.104707657223,20.8522806444
N2188-1.Q2.V.170430_0015.C.008281.061035N3413.0060.nh.fits,2017-04-30T00:15:00.000,C,1154,485.010590278,92.6547343451,-34.1411056092,10.4162476431,2.43145661753,21.4373643378,0.448683173288,21.182855586
N2188-1.Q2.V.170219_1037.A.045190.061035N3413.0060.nh.fits,2017-02-19T10:37:00.000,A,1155,415.44287037,92.6548725272,-34.1412147207,nan,nan,nan,nan,21.5187272308
N2188-1.Q2.V.170220_1327.A.045554.061035N3413.0060.nh.fits,2017-02-20T13:27:00.000,A,1156,416.561099537,92.6547392414,-34.1410919124,72.9978669735,24.821574535,19.3132199676,0.0439686011687,21.6634150539
N2188-1.Q2.V.170116_0234.C.049762.061035N3413.0060.nh.fits,2017-01-16T02:34:00.000,C,1157,381.107083333,92.6547417756,-34.1410841855,88.5497415939,22.2217279022,19.1025206218,0.0491155154579,21.3445389259
N2188-1.Q2.V.161104_1656.A.031493.061035N3413.0060.nh.fits,2016-11-04T16:56:00.000,A,1158,308.705798611,92.6548849875,-34.1411199015,nan,nan,nan,nan,21.5045516512
N2188-1.Q2.V.161220_0728.C.044154.061035N3413.0060.nh.fits,2016-12-20T07:28:00.000,C,1159,354.311203704,92.6548599427,-34.1411885548,-0.345435159636,-0.0870751546425,nan,nan,21.2584608654
N2188-1.Q2.V.170115_0129.C.049496.061035N3413.0060.nh.fits,2017-01-15T01:29:00.000,C,1160,380.062395833,92.6547412209,-34.1410768905,91.4451048008,27.1929727219,19.0674200343,0.0401437359046,21.5907383949
N2188-1.Q2.V.170402_1816.S.001841.061035N3413.0060.nh.fits,2017-04-02T18:16:00.000,S,1161,457.761770833,92.6547422269,-34.1410875028,45.3748723083,15.3842230559,19.8319347901,0.0709255134968,21.6200709837
N2188-1.Q2.V.170315_1937.S.062852.061035N3413.0060.nh.fits,2017-03-15T19:37:00.000,S,1162,439.81775463,92.6547510219,-34.1411123369,62.5003736914,15.4645513381,19.4825979884,0.0705568498849,21.3018127161
N2188-1.Q2.V.170330_0138.C.000630.061035N3413.0060.nh.fits,2017-03-30T01:38:00.000,C,1163,454.0684375,92.6547378406,-34.1410843107,47.393875078,17.0010657115,19.7844408995,0.0641815337985,21.6896058005
N2188-1.Q2.V.170119_0309.C.050473.061035N3413.0060.nh.fits,2017-01-19T03:09:00.000,C,1164,384.131608796,92.6547392405,-34.1410852876,87.5938994017,21.8645663497,19.114360778,0.0499173840996,21.3054724762
N2188-1.Q2.V.170429_0010.C.007951.061035N3413.0060.nh.fits,2017-04-29T00:10:00.000,C,1165,484.007326389,92.6548167658,-34.1410919736,8.62464110323,3.09920301877,21.6432736428,0.352011680272,21.6653232862
N2188-1.Q2.V.170227_1253.A.046948.061035N3413.0060.nh.fits,2017-02-27T12:53:00.000,A,1166,423.537372685,92.6547375223,-34.141097626,70.7319174134,22.5073819641,19.3476211517,0.0484865254042,21.622257625
N2188-1.Q2.V.170416_1859.S.004680.061035N3413.0060.nh.fits,2017-04-16T18:59:00.000,S,1167,471.791076389,92.6547290964,-34.141079607,13.3840971509,5.12492097833,21.1638633449,0.212875280094,21.7163851385
N2188-1.Q2.V.170108_0628.C.047944.061035N3413.0060.nh.fits,2017-01-08T06:28:00.000,C,1168,373.269849537,92.6547464567,-34.1410823347,91.6981032511,24.5582803938,19.0644059093,0.0444465396464,21.4273537529
N2188-1.Q2.V.170504_0004.C.009580.061035N3413.0060.nh.fits,2017-05-04T00:04:00.000,C,1169,489.003206019,92.6549064468,-34.1418103498,5.86151650692,1.45064182164,22.064614014,0.752045983373,21.2830479766
N2188-1.Q2.V.161027_0559.C.033355.061035N3413.0060.nh.fits,2016-10-27T05:59:00.000,C,1170,300.249409722,92.6547750346,-34.1411882095,-1.69539447971,-0.316253361838,nan,nan,20.9438070471
N2188-1.Q2.V.170318_0130.C.062855.061035N3413.0060.nh.fits,2017-03-18T01:30:00.000,C,1171,442.06318287,92.6547323908,-34.1410880245,61.8449009138,14.613680294,19.4940997229,0.0746682707316,21.2482417777
N2188-1.Q2.V.170311_1005.A.048969.061035N3413.0060.nh.fits,2017-03-11T10:05:00.000,A,1172,435.420578704,92.6547271294,-34.1410867631,68.8039443348,16.4007342014,19.3777704152,0.0665310840771,21.2947259093
N2188-1.Q2.V.161118_0646.C.037874.061035N3413.0060.nh.fits,2016-11-18T06:46:00.000,C,1173,322.281956019,92.6547663152,-34.1411200129,nan,nan,nan,nan,21.186850881
N2188-1.Q2.V.170110_0319.C.048342.061035N3413.0060.nh.fits,2017-01-10T03:19:00.000,C,1174,375.138506944,92.6547416739,-34.1410873742,91.0267998128,14.6634573612,19.0724218967,0.0744184357154,20.8007334867
N2188-1.Q2.V.161116_0756.C.037425.061035N3413.0060.nh.fits,2016-11-16T07:56:00.000,C,1175,320.330694444,92.6548364859,-34.1412154861,-0.569220536721,-0.100968238034,nan,nan,20.8937306897
N2188-1.Q2.V.170221_0109.C.057073.061035N3413.0060.nh.fits,2017-02-21T01:09:00.000,C,1176,417.048414352,92.654735464,-34.1410856533,74.2671590586,20.336901783,19.2944135251,0.0536621813051,21.4031593118
N2188-1.Q2.V.170311_0220.C.061232.061035N3413.0060.nh.fits,2017-03-11T02:20:00.000,C,1177,435.097291667,92.6547400579,-34.1410803563,69.9234035555,17.9349902223,19.360163245,0.0608427309263,21.3514017193
N2188-1.Q2.V.161202_0638.C.040591.061035N3413.0060.nh.fits,2016-12-02T06:38:00.000,C,1178,336.276898148,92.6548487757,-34.1412141466,-1.19301314239,-0.248045802179,nan,nan,21.0640588077
N2188-1.Q2.V.170404_0117.C.001967.061035N3413.0060.nh.fits,2017-04-04T01:17:00.000,C,1179,459.053969907,92.6547486159,-34.141083117,45.7654512929,13.8405548778,19.8225842886,0.0788330275614,21.5286771888
N2188-1.Q2.V.170320_0141.C.063404.061035N3413.0060.nh.fits,2017-03-20T01:41:00.000,C,1180,444.070277778,92.6547319214,-34.1410806787,61.5940381437,23.5886850873,19.4985339566,0.0462679878531,21.8290986403
N2188-1.Q2.V.161216_0633.C.043174.061035N3413.0060.nh.fits,2016-12-16T06:33:00.000,C,1181,350.272997685,92.654837092,-34.141184308,-2.09263117478,-0.402283939091,nan,nan,20.9970158636
N2188-1.Q2.V.161213_1703.A.037689.061035N3413.0060.nh.fits,2016-12-13T17:03:00.000,A,1182,347.710439815,92.6548899454,-34.1411231264,72.5301583951,1.10902271008,19.3202323265,0.983704644744,18.2037763888
N2188-1.Q2.V.170408_0943.A.052640.061035N3413.0060.nh.fits,2017-04-08T09:43:00.000,A,1183,463.40494213,92.6548175297,-34.1411320301,nan,nan,nan,nan,19.2590924988
N2188-1.Q2.V.170331_0130.C.000887.061035N3413.0060.nh.fits,2017-03-31T01:30:00.000,C,1184,455.0625,92.6547536368,-34.1410951778,50.1288769885,22.413836278,19.7232341205,0.0486898971585,22.028742137
N2188-1.Q2.V.161022_1633.A.028879.061035N3413.0060.nh.fits,2016-10-22T16:33:00.000,A,1185,295.689780093,92.6548238832,-34.1411807064,nan,nan,nan,nan,20.6978332491
N2188-1.Q2.V.170116_0127.C.049732.061035N3413.0060.nh.fits,2017-01-16T01:27:00.000,C,1186,381.06087963,92.6547455358,-34.1410885902,85.8767052063,31.6102574319,19.1359601761,0.0345379109209,21.8348509159
N2188-1.Q2.V.170220_0211.C.056829.061035N3413.0060.nh.fits,2017-02-20T02:11:00.000,C,1187,416.091469907,92.6547522736,-34.1410763884,74.1657839285,28.8552665159,19.2959036928,0.037830160101,21.8903175062
N2188-1.Q2.V.170111_0641.C.048677.061035N3413.0060.nh.fits,2017-01-11T06:41:00.000,C,1188,376.278923611,92.6547569402,-34.1410833368,87.3880404464,21.6379764282,19.1169276882,0.0504353178009,21.3422970048
N2188-1.Q2.V.170402_0025.C.001408.061035N3413.0060.nh.fits,2017-04-02T00:25:00.000,C,1189,457.017685185,92.6547513681,-34.1410844837,48.6757136248,17.4433393023,19.7553265485,0.0625546220092,21.7306404985
N2188-1.Q2.V.170130_2030.S.053619.061035N3413.0060.nh.fits,2017-01-30T20:30:00.000,S,1190,395.854502315,92.6547501238,-34.141085375,82.0835433944,31.6327170403,19.185243802,0.0345113913547,21.8895346984
N2188-1.Q2.V.161115_0632.C.036953.061035N3413.0060.nh.fits,2016-11-15T06:32:00.000,C,1191,319.272546296,92.6548820578,-34.1411636101,nan,nan,nan,nan,21.1258305529
N2188-1.Q2.V.161219_0557.C.043871.061035N3413.0060.nh.fits,2016-12-19T05:57:00.000,C,1192,353.247986111,92.6547699666,-34.141168855,-1.49573386634,-0.372549122314,nan,nan,21.2834875671
N2188-1.Q2.V.170119_1106.A.042189.061035N3413.0060.nh.fits,2017-01-19T11:06:00.000,A,1193,384.462511574,92.6547384444,-34.1410963709,84.8373637965,26.9962610338,19.1492441564,0.0404364956675,21.6635850148
N2188-1.Q2.V.170121_0242.C.050905.061035N3413.0060.nh.fits,2017-01-21T02:42:00.000,C,1194,386.113101852,92.6547526677,-34.1410903822,85.908328116,25.1921536353,19.1355585236,0.0433281752017,21.5057287061
N2188-1.Q2.V.170420_1001.A.055415.061035N3413.0060.nh.fits,2017-04-20T10:01:00.000,A,1195,475.418020833,92.6547216004,-34.1410992296,13.617496904,1.90181967688,21.1450027344,0.573636988044,20.6444069094
N2188-1.Q2.V.170203_0129.C.052946.061035N3413.0060.nh.fits,2017-02-03T01:29:00.000,C,1196,399.062256944,92.6547465001,-34.1410861216,82.5384880606,24.4605814797,19.1792139637,0.0446207421182,21.5635966763
