Name,KSPtime,Location,index,time,RA,DEC,I,SN,M,Merr,Mlim
N300-1.Q2.B.171122_0136.C.051920.005606N3754.0060.nh.fits,2017-11-22T01:36:00.000,C,86,691.067210648,13.6771977329,-37.620269218,-0.790205413999,-0.475112616502,nan,nan,22.343024723
N300-1.Q2.B.171227_0112.C.057929.005606N3754.0060.nh.fits,2017-12-27T01:12:00.000,C,87,726.050335648,13.6772369897,-37.6201652342,8.39547151453,3.6965080871,21.8054284097,0.295539194214,22.0197387635
N300-1.Q2.B.171125_2032.S.052805.005606N3754.0060.nh.fits,2017-11-25T20:32:00.000,S,88,694.856076389,13.6772484035,-37.6202099675,-3.85638950209,-1.79575174004,nan,nan,22.0475396513
N300-1.Q2.B.171229_0116.C.058386.005606N3754.0060.nh.fits,2017-12-29T01:16:00.000,C,89,728.052928241,13.6770812411,-37.6202064607,10.9094935944,3.41242923735,21.5196645476,0.320189907102,21.6808487467
N300-1.Q2.B.171215_2047.S.056526.005606N3754.0060.nh.fits,2017-12-15T20:47:00.000,S,90,714.866168981,13.6771616578,-37.6201999044,13.4402132087,8.76008371996,21.2920734124,0.125214186684,22.4206537433
N300-1.Q2.B.171204_1009.A.031280.005606N3754.0060.nh.fits,2017-12-04T10:09:00.000,A,91,703.423483796,13.6772595768,-37.6201383181,28.1872576272,7.49177033751,20.4840969857,0.146787609804,21.4947263174
N300-1.Q2.B.171226_0119.C.057702.005606N3754.0060.nh.fits,2017-12-26T01:19:00.000,C,92,725.055439815,13.6772019134,-37.6201459117,12.0051516145,5.68346749174,21.4152581471,0.192701522753,22.0603244413
N300-1.Q2.B.171216_1110.A.033343.005606N3754.0060.nh.fits,2017-12-16T11:10:00.000,A,93,715.465555556,13.6772274054,-37.6201699255,16.010871245,7.10071767,21.1011392896,0.154496418514,22.0610100265
N300-1.Q2.B.171225_1122.A.034224.005606N3754.0060.nh.fits,2017-12-25T11:22:00.000,A,94,724.474027778,13.6769855126,-37.6201976139,9.85422700284,2.1511296178,21.6306498048,0.507557035543,21.1942732578
N300-1.Q2.B.171125_1900.S.052763.005606N3754.0060.nh.fits,2017-11-25T19:00:00.000,S,95,694.792372685,13.677261695,-37.620215198,-3.78159682757,-1.24567541039,nan,nan,21.5241112886
N300-1.Q2.B.171211_2041.S.055743.005606N3754.0060.nh.fits,2017-12-11T20:41:00.000,S,96,710.862060185,13.6771902575,-37.6201832144,9.13015990869,5.74437299226,21.7139079813,0.190340329091,22.4016271656
N300-1.Q2.B.171213_2050.S.056234.005606N3754.0060.nh.fits,2017-12-13T20:50:00.000,S,97,712.868576389,13.6771740132,-37.6201758547,17.6313132974,10.7235658707,20.9959626093,0.102665038809,22.3260288928
N300-1.Q2.B.171210_2038.S.055520.005606N3754.0060.nh.fits,2017-12-10T20:38:00.000,S,98,709.860023148,13.677187779,-37.6202055115,11.4768409322,6.74517138139,21.4643559075,0.162257430973,22.3220649497
N300-1.Q2.B.171213_1922.S.056196.005606N3754.0060.nh.fits,2017-12-13T19:22:00.000,S,99,712.807071759,13.6772099091,-37.6202105512,14.2702240849,7.94455970417,21.2266995301,0.138011600297,22.3150427806
N300-1.Q2.B.171225_1956.S.057917.005606N3754.0060.nh.fits,2017-12-25T19:56:00.000,S,100,724.830740741,13.6770764808,-37.6201550468,7.53991088555,2.39914529945,21.9226857549,0.455028164769,21.6098897028
N300-1.Q2.B.171120_0055.C.051475.005606N3754.0060.nh.fits,2017-11-20T00:55:00.000,C,101,689.038263889,13.6773064425,-37.6202398695,nan,nan,nan,nan,22.1566661174
N300-1.Q2.B.171205_1113.A.031529.005606N3754.0060.nh.fits,2017-12-05T11:13:00.000,A,102,704.46744213,13.6771940893,-37.6201884081,27.9139339442,9.21149202459,20.4947272132,0.11969735646,21.7402938774
N300-1.Q2.B.171207_1938.S.054856.005606N3754.0060.nh.fits,2017-12-07T19:38:00.000,S,103,706.818668981,13.6772123123,-37.6201813299,18.7945811727,11.9404699591,20.9262596597,0.0922678501493,22.4834911901
N300-1.Q2.B.171122_2001.S.052151.005606N3754.0060.nh.fits,2017-11-22T20:01:00.000,S,104,691.834097222,13.677266792,-37.6202538472,-6.11255976353,-3.93477062802,nan,nan,22.4249718165
N300-1.Q2.B.171203_1108.A.031162.005606N3754.0060.nh.fits,2017-12-03T11:08:00.000,A,105,702.463946759,13.6771579233,-37.6200474104,28.5450582673,4.05380413569,20.470335976,0.2700357254,20.7870607015
N300-1.Q2.B.171214_1922.S.056323.005606N3754.0060.nh.fits,2017-12-14T19:22:00.000,S,106,713.807627315,13.6772002652,-37.6202330289,9.61966353798,5.60930507165,21.6569320577,0.194877620496,22.3491561387
N300-1.Q2.B.171215_2007.S.056508.005606N3754.0060.nh.fits,2017-12-15T20:07:00.000,S,107,714.838483796,13.6771989412,-37.6202192946,18.6366452315,12.1428790417,20.9354659239,0.0909954712123,22.389835783
N300-1.Q2.B.171225_0138.C.057493.005606N3754.0060.nh.fits,2017-12-25T01:38:00.000,C,108,724.068518519,13.6772332321,-37.6201693351,14.5253765484,6.59433362959,21.2073656539,0.166300568345,21.9044768115
