Name,KSPtime,Location,index,time,RA,DEC,I,SN,M,Merr,Mlim
N2188-1.Q2.B.170331_1200.A.051295.061035N3413.0060.nh.fits,2017-03-31T12:00:00.000,A,0,455.500046296,92.6549615657,-34.1409933958,4.4255722625,2.77037775649,22.5664016885,0.397968899912,21.2984696546
N2188-1.Q2.B.170420_0855.A.055384.061035N3413.0060.nh.fits,2017-04-20T08:55:00.000,A,1,475.371608796,92.6547504386,-34.1411354542,0.973319330669,2.22421243602,24.2185794768,0.495696324222,23.260451892
N2188-1.Q2.B.161022_1631.A.028878.061035N3413.0060.nh.fits,2016-10-22T16:31:00.000,A,2,295.688344907,92.6548040893,-34.1411484785,nan,nan,nan,nan,20.5706623597
N2188-1.Q2.B.170113_0703.C.049170.061035N3413.0060.nh.fits,2017-01-13T07:03:00.000,C,3,378.293773148,92.654795523,-34.1411138962,84.137941142,18.2379323825,19.3534973088,0.0606623376607,21.6778659974
N2188-1.Q2.B.161207_1553.A.036487.061035N3413.0060.nh.fits,2016-12-07T15:53:00.000,A,4,341.662303241,92.65485658,-34.1411338917,nan,nan,nan,nan,21.266244191
N2188-1.Q2.B.170119_1904.S.051582.061035N3413.0060.nh.fits,2017-01-19T19:04:00.000,S,5,384.794594907,92.6547389698,-34.1411631517,46.5883615516,19.2185314904,19.9983639908,0.0575677784449,21.6539438597
N2188-1.Q2.B.170111_0319.C.048586.061035N3413.0060.nh.fits,2017-01-11T03:19:00.000,C,6,376.138553241,92.6547733363,-34.141091456,90.0617836681,45.721673305,19.2792710667,0.0244434452435,23.4754437984
N2188-1.Q2.B.161201_0411.C.040294.061035N3413.0060.nh.fits,2016-12-01T04:11:00.000,C,7,335.174398148,92.6548340372,-34.1412120731,nan,nan,nan,nan,23.255860054
N2188-1.Q2.B.170307_1957.S.061073.061035N3413.0060.nh.fits,2017-03-07T19:57:00.000,S,8,431.831597222,92.6547557295,-34.1411492266,29.578176965,17.416669087,20.4939967487,0.0635023373463,22.3402163812
N2188-1.Q2.B.170331_0942.A.051231.061035N3413.0060.nh.fits,2017-03-31T09:42:00.000,A,9,455.404351852,92.6547360625,-34.1410998564,13.6159833702,6.54918195895,21.340345794,0.168410779925,21.6722295258
N2188-1.Q2.B.170327_2028.S.000210.061035N3413.0060.nh.fits,2017-03-27T20:28:00.000,S,10,451.853321759,92.6547649602,-34.1410914915,17.3552161362,13.8979840261,21.0756286861,0.0795140765018,22.6749896861
N2188-1.Q2.B.170328_1939.S.000418.061035N3413.0060.nh.fits,2017-03-28T19:39:00.000,S,11,452.819247685,92.6547376837,-34.1411995971,12.8693466136,8.11472225413,21.40187099,0.135962161637,21.9402801085
N2188-1.Q2.B.170223_0331.C.057637.061035N3413.0060.nh.fits,2017-02-23T03:31:00.000,C,12,419.147106481,92.6547505258,-34.1411344388,32.3716471824,24.374236147,20.3955429394,0.0454730366805,22.74838095
N2188-1.Q2.B.161026_1620.A.029735.061035N3413.0060.nh.fits,2016-10-26T16:20:00.000,A,13,299.681111111,92.6548233875,-34.141179543,nan,nan,nan,nan,21.0011765683
